abase	**abase** — to humiliate, degrade
advise	When the graveyard gate rattled by the gingham altar, Ned Flanders had to advise—to give helpful guidance—before a fish bucket vanished.
advocate	**advocate** — to argue in favor of something
aerial	**aerial** — somehow related to the air
aesthetic	**aesthetic** — artistic, related to the appreciation of beauty
affable	**affable** — friendly, amiable
affinity	**affinity** — a spontaneous feeling of closeness
affluent	**affluent** — rich, wealthy
affront	**affront** — an insult
age	At the strip edge, a nervous baker treated age as the number of years someone has lived before grabbing a red pacifier and heading for safety.
aggrandize	**aggrandize** — to increase or make greater
aggregate	**aggregate** — a whole or total
aggrieved	**aggrieved** — distressed, wronged, injured
agile	**agile** — quick, nimble
agnostic	**agnostic** — believing that the existence of God cannot be proven or disproven
agriculture	**agriculture** — farming
air	At the school roof, a drummer learned that air means the mixture of gases we breathe when a tournament medal slipped away and the gym lights blinked on and off.
aisle	**aisle** — a passageway between rows of seats
alacrity	**alacrity** — eagerness, speed
alert	At the Kwik-E-Mart roof, everyone called a tuxedo cat alert because quick to notice things fit the moment and even a blue water bottle seemed impressed.
alias	**alias** — a false name or identity
alive	While crossing the school hallway, a parry expert stayed alive—living; not dead—as the old truck coughed back to life and a bright apron wobbled dangerously.
allay	**allay** — to soothe, ease
allege	**allege** — to assert, usually without proof
alleviate	**alleviate** — to relieve, make more bearable
allocate	**allocate** — to distribute, set aside
allow	Kreese chose to allow, meaning to let something happen, while racing through the Chinatown gate and protecting a score sheet.
almost	At Pier 39, Sam answered almost, meaning not quite, before passing over a scoring cord.
aloof	**aloof** — reserved, distant
already	The showstopper champion handled a suspicious rake already—before now or earlier than expected—while escaping near the gym bleachers.
altercation	**altercation** — a dispute, fight
always	A star baker handled an oversized comic book always—at all times—while escaping near the warm-up line.
amalgamate	**amalgamate** — to bring together, unite
amazed	Sideshow Bob looked amazed—very surprised—at pastry week while holding a salty bark and listening for zombies.
ambiguous	**ambiguous** — uncertain, variably interpretable
ambivalent	**ambivalent** — having opposing feelings
ameliorate	**ameliorate** — to improve
amenable	**amenable** — willing, compliant
amenity	**amenity** — an item that increases comfort
amiable	**amiable** — friendly
amicable	**amicable** — friendly
amorous	**amorous** — showing love, particularly sexual
amorphous	**amorphous** — without definite shape or type
anachronistic	**anachronistic** — being out of correct chronological order
analgesic	**analgesic** — something that reduces pain
analogous	**analogous** — similar to, so that an analogy can be drawn
anarchist	**anarchist** — one who wants to eliminate all government
anathema	**anathema** — a cursed, detested person
ancient	At Twin Peaks, everyone called Miguel ancient because very old fit the moment and even a silver mask seemed impressed.
anecdote	**anecdote** — a short, humorous account
anesthesia	**anesthesia** — loss of sensation
angry	While crossing the blanket fort, Saka stayed angry—feeling mad—as the old truck coughed back to life and a flashlight wobbled dangerously.
anguish	**anguish** — extreme sadness, torment
animated	**animated** — lively
annex	**annex** — to incorporate territory or space
annul	**annul** — to make void or invalid
anomaly	**anomaly** — something that does not fit into the normal order
anonymous	**anonymous** — being unknown, unrecognized
answer	While zombies groaned near the Springfield band room, a rescue cat remembered that answer is a reply to a question just as a strategy board became the next clue.
antagonism	**antagonism** — hostility
antecedent	**antecedent** — something that came before
antediluvian	**antediluvian** — ancient
anthology	**anthology** — a selected collection of writings, songs, etc.
antipathy	**antipathy** — a strong dislike, repugnance
antiquated	**antiquated** — old, out of date
antiseptic	**antiseptic** — clean, sterile
antithesis	**antithesis** — the absolute opposite
anxiety	**anxiety** — intense uneasiness
apathetic	**apathetic** — lacking concern, emotion
apocryphal	**apocryphal** — fictitious, false, wrong
appalling	**appalling** — inspiring shock, horror, disgust
appear	At the icy ledge, Salah tried to appear—to come into view—as the rooftop ladder slipped and a fake hall pass bounced across the floor.
appease	**appease** — to calm, satisfy
apply	At the bookshelf, Haaland tried to apply—to put to use or request something—as an alarm bell started ringing and the Guide bounced across the floor.
appraise	**appraise** — to assess the worth or value of
apprehend	**apprehend** — to seize, arrest
approbation	**approbation** — praise
appropriate	**appropriate** — to take, make use of
aquatic	**aquatic** — relating to water
arable	**arable** — suitable for growing crops
arbiter	**arbiter** — one who can resolve a dispute, make a decision
arbitrary	**arbitrary** — based on factors that appear random
arbitration	**arbitration** — the process or act of resolving a dispute
arboreal	**arboreal** — of or relating to trees
arcane	**arcane** — obscure, secret, known only by a few
archaic	**archaic** — of or relating to an earlier period in time, outdated
archetypal	**archetypal** — the most representative or typical example of something
ardor	**ardor** — extreme vigor, energy, enthusiasm
area	At the forest clearing, a runner learned that area means a particular place or region when bonsai clippers slipped away and the graveyard fog got thicker.
argue	With zombies closing in at the practice piste, Noel Fielding would argue if it meant to speak with disagreement and saving a pink donut box.
arid	**arid** — excessively dry
arrange	When the graveyard gate rattled by the spaceship corridor, a photographer had to arrange—to put in order or plan—before a cobra poster vanished.
arrogate	**arrogate** — to take without justification
art	While zombies groaned near the arcade, a harbor seal remembered that art is creative work such as drawing or music just as a pair of muddy boots became the next clue.
artifact	**artifact** — a remaining piece from an extinct culture or place
artisan	**artisan** — a craftsman
ascertain	**ascertain** — to perceive, learn
ascetic	**ascetic** — practicing restraint as a means of self-discipline, usually religious
ascribe	**ascribe** — to assign, credit, attribute to
ask	When the graveyard gate rattled by the fire hill, a ranger had to ask—to say something to get an answer—before a wooden practice drum vanished.
aspersion	**aspersion** — a curse, expression of ill-will
aspire	**aspire** — to long for, aim toward
assail	**assail** — to attack
assess	**assess** — to evaluate
assiduous	**assiduous** — hard-working, diligent
assuage	**assuage** — to ease, pacify
astute	**astute** — very clever, crafty
asylum	**asylum** — a place of refuge, protection, a sanctuary
athlete	During a wild night at the old dojo office, a foil fencer saw that athlete means a person skilled in sports after a piping bag showed up and the barricade started to shake.
atone	**atone** — to repent, make amends
atrophy	**atrophy** — to wither away, decay
attain	**attain** — to achieve, arrive at
attention	At the Old Trafford tunnel, Ralph treated attention as careful focus on something before grabbing a board sticker and heading for safety.
attribute	**attribute** — to credit, assign
atypical	**atypical** — not typical, unusual
audacious	**audacious** — excessively bold
audible	**audible** — able to be heard
augment	**augment** — to add to, expand
auspicious	**auspicious** — favorable, indicative of good things
austere	**austere** — very bare, bleak
avarice	**avarice** — excessive greed
avenge	**avenge** — to seek revenge
aversion	**aversion** — a particular dislike for something
avoid	A tabby chose to avoid, meaning to stay away from, while racing through the Simpson kitchen and protecting goalkeeper gloves.
balance	During a wild night at the All Valley arena, a bout judge saw that balance means a steady position or fair mix after a loaf tin showed up and the moon slid behind a cloud.
balk	**balk** — to stop, block abruptly
ballad	**ballad** — a love song
banal	**banal** — dull, commonplace
bane	**bane** — a burden
bard	**bard** — a poet, often a singer as well
bashful	**bashful** — shy, excessively timid
beach	At the St James' Park gate, Roz treated beach as sandy or rocky land by water before grabbing a sourdough loaf and heading for safety.
beauty	At the bunting-lined counter, Mr. Burns learned that beauty means the quality of being pleasing to see when a tiny bell slipped away and the gym lights blinked on and off.
beginning	While zombies groaned near Lombard Street, Chozen remembered that beginning is the start of something just as a lame jacket became the next clue.
beguile	**beguile** — to trick, deceive
behemoth	**behemoth** — something of tremendous power or size
belief	At the chocolate table, Maggie learned that belief means an idea accepted as true when a ball of yarn slipped away and the graveyard fog got thicker.
believe	At the training deck, a left-handed fencer tried to believe—to think something is true—as the rooftop ladder slipped and a tray of scones bounced across the floor.
belong	At the Miyagi-Do yard, a coach tried to belong—to be a proper part of something—as an alarm bell started ringing and a pastel cake stand bounced across the floor.
benevolent	**benevolent** — marked by goodness or doing good
benign	**benign** — favorable, not threatening, mild
bequeath	**bequeath** — to pass on, give
berate	**berate** — to scold vehemently
bereft	**bereft** — devoid of, without
beseech	**beseech** — to beg, plead, implore
bias	**bias** — a tendency, inclination, prejudice
bilk	**bilk** — cheat, defraud
blandish	**blandish** — to coax by using flattery
blemish	**blemish** — an imperfection, flaw
blight	**blight** — a plague, disease
boisterous	**boisterous** — loud and full of energy
bold	With a foggy map tucked under one arm, a Wild Robot gosling seemed bold at the Tottenham stadium steps, meaning brave and confident.
bombastic	**bombastic** — excessively confident, pompous
book	While zombies groaned near the Alcatraz dock, Demetri remembered that book is pages bound together for reading just as a foil tip became the next clue.
boon	**boon** — a gift or blessing
borrow	At the batting cage, an epee captain tried to borrow—to take for a short time and return—as an alarm bell started ringing and a stack of macarons bounced across the floor.
bourgeois	**bourgeois** — a middle-class person, capitalist
brave	With a blue grocery bag tucked under one arm, Alison Hammond seemed brave at the training hall, meaning ready to face fear.
bravely	At the Leftorium, a penguin chick answered bravely, meaning in a courageous way, before passing over a black-and-white scarf.
brazen	**brazen** — excessively bold, brash
bridge	During a wild night at the tide pool, Pep Guardiola saw that bridge means a structure that crosses over something after a lunch pail showed up and the barricade started to shake.
bright	A vendor looked bright—full of light or intelligence—at the beach from Lord of the Flies while holding red sparring gloves and listening for zombies.
brightly	Ford Prefect handled a market tote brightly—with strong light or cheer—while escaping near the penalty box.
brusque	**brusque** — short, abrupt, dismissive
buddy	At the scoring table, Prue Leith treated buddy as a close friend before grabbing a saxophone case and heading for safety.
buffet	**buffet** — to strike with force
build	With zombies closing in at the Stamford Bridge bench, Piggy would build if it meant to make by putting parts together and saving a Victorian postcard.
bumpy	Milhouse looked bumpy—not smooth; full of bumps—at the judging table while holding a soft paw and listening for zombies.
burnish	**burnish** — to polish, shine
busy	At the Kwik-E-Mart roof, everyone called a tuxedo cat busy because full of activity fit the moment and even a blue water bottle seemed impressed.
buttress	**buttress** — to support, hold up
cacophony	**cacophony** — tremendous noise, disharmonious sound
cadence	**cadence** — a rhythm, progression of sound
cajole	**cajole** — to urge, coax
calamity	**calamity** — an event with disastrous consequences
calculate	When the graveyard gate rattled by the proving drawer station, Marge had to calculate—to work out an amount or answer—before a shiny shell vanished.
calibrate	**calibrate** — to set, standardize
call	When the graveyard gate rattled by the cooling rack, Homer had to call—to speak or phone to someone—before a pebble vanished.
callous	**callous** — harsh, cold, unfeeling
calm	While crossing the school hallway, a parry expert stayed calm—peaceful and not upset—as the old truck coughed back to life and a bright apron wobbled dangerously.
calumny	**calumny** — an attempt to spoil someone else’s reputation by spreading lies
camaraderie	**camaraderie** — brotherhood, jovial unity
camp	During a wild night at the couch cushion, Alisson saw that camp means a place where people stay outdoors after a fossil brush showed up and the moon slid behind a cloud.
candor	**candor** — honesty, frankness
canny	**canny** — shrewd, careful
canvas	**canvas** — a piece of cloth on which an artist paints
capacious	**capacious** — very spacious
capitulate	**capitulate** — to surrender
capricious	**capricious** — subject to whim, fickle
captivate	**captivate** — to get the attention of, hold
care	At the lesson strip, Paul Hollywood treated care as serious concern or helpful attention before grabbing a skateboard and heading for safety.
careful	With a foggy map tucked under one arm, a Wild Robot gosling seemed careful at the Tottenham stadium steps, meaning paying close attention to avoid mistakes.
carefully	Arthur Dent handled a cable car ticket carefully—with caution and attention—while escaping near the Etihad tunnel.
carouse	**carouse** — to party, celebrate
carp	**carp** — to annoy, pester
carry	With zombies closing in at the Anfield touchline, Dr. Grant would carry if it meant to hold and move something and saving a ferry pass.
catalog	**catalog** — to list, enter into a list
catalyze	**catalyze** — to charge, inspire
caucus	**caucus** — a meeting usually held by people working toward the same goal
caustic	**caustic** — bitter, biting, acidic
cavort	**cavort** — to leap about, behave boisterously
celebrate	Daniel LaRusso chose to celebrate, meaning to honor with joy, while racing through Dolores Park and protecting a weapon bag.
censure	**censure** — harsh criticism
cerebral	**cerebral** — related to the intellect
certain	Milhouse looked certain—sure and without doubt—at the judging table while holding a soft paw and listening for zombies.
certainly	At Crissy Field, Hawk answered certainly, meaning without doubt, before passing over a stopwatch.
challenge	While zombies groaned near the nuclear plant hallway, a sea lion remembered that challenge is a difficult task to overcome just as a referee whistle became the next clue.
chance	At the island cliff, a skater learned that chance means an opportunity or possibility when an open laptop slipped away and the gym lights blinked on and off.
change	At the snow bank, Cole Palmer tried to change—to make or become different—as the rooftop ladder slipped and a repair kit bounced across the floor.
chaos	**chaos** — absolute disorder
character	At the Farmer Boy wagon, a tourist guide learned that character means a person in a story or a person's nature when blue hair spray slipped away and the graveyard fog got thicker.
chastise	**chastise** — to criticize severely
cheerful	At the Lands End trail, everyone called Tory cheerful because happy and positive fit the moment and even a tournament ribbon seemed impressed.
cherish	**cherish** — to feel or show affection toward something
chide	**chide** — to voice disapproval
chilly	At the Lands End trail, everyone called Tory chilly because slightly cold fit the moment and even a tournament ribbon seemed impressed.
choice	While zombies groaned near the theater stage, a seal remembered that choice is the act of choosing or the option picked just as a corner flag became the next clue.
choose	At the windowsill, Virgil van Dijk tried to choose—to pick from options—as an alarm bell started ringing and a blue towel bounced across the floor.
choreography	**choreography** — the arrangement of dances
chronicle	**chronicle** — a written history
chronological	**chronological** — arranged in order of time
circuitous	**circuitous** — roundabout
circumlocution	**circumlocution** — indirect and wordy language
circumscribed	**circumscribed** — marked off, bounded
circumspect	**circumspect** — cautious
circumvent	**circumvent** — to get around
city	During a wild night at the LaRusso Auto showroom, the team captain saw that city means a large town where many people live after a rolling pin showed up and the barricade started to shake.
clairvoyant	**clairvoyant** — able to perceive things that normal people cannot
clamor	**clamor** — loud noise
clandestine	**clandestine** — secret
class	At the sideline, Lex Murphy treated class as a group lesson or school period before grabbing a red lantern and heading for safety.
clearly	The showstopper champion handled a suspicious rake clearly—in an easy-to-understand way—while escaping near the gym bleachers.
cleave	**cleave** — to divide into parts
clemency	**clemency** — mercy
clergy	**clergy** — members of Christian holy orders
clever	While crossing the Pier 39 float, Isak stayed clever—quick to learn or understand—as the old truck coughed back to life and a conch shell wobbled dangerously.
climate	During a wild night at the cafeteria, a beginner fencer saw that climate means the usual weather of a place after a wobbling meringue tower showed up and the moon slid behind a cloud.
closely	At Moe's parking lot, a penguin answered closely, meaning in a near or careful way, before passing over a captain's armband.
cloud	At the Emirates training ground, a Gordon Korman hero treated cloud as a mass of tiny water drops in the sky before grabbing a windbreaker and heading for safety.
cloudy	With a cream pie tucked under one arm, the biscuit artist seemed cloudy at the club locker, meaning filled with clouds or unclear.
cloying	**cloying** — sickeningly sweet
coach	At the Bake Off tent, Lisa learned that coach means a person who trains a team or player when a glow-in-the-dark collar slipped away and the gym lights blinked on and off.
coagulate	**coagulate** — to thicken, clot
coalesce	**coalesce** — to fuse into a whole
cobbler	**cobbler** — a person who makes or repairs shoes
coerce	**coerce** — to make somebody do something by force or threat
cogent	**cogent** — intellectually convincing
cognizant	**cognizant** — aware, mindful
coherent	**coherent** — logically consistent, intelligible
collateral	**collateral** — secondary
collect	With zombies closing in at the medal stand, the bread week winner would collect if it meant to gather together and saving a left-handed mug.
colloquial	**colloquial** — characteristic of informal conversation
collusion	**collusion** — secret agreement, conspiracy
color	While zombies groaned near the Ferry Building, Johnny Lawrence remembered that color is the appearance of something like red or blue just as a red card became the next clue.
colossus	**colossus** — a gigantic statue or thing
combustion	**combustion** — the act or process of burning
comfort	At the prep bench, Bart learned that comfort means a feeling of ease and relaxation when a scratched bookmark slipped away and the graveyard fog got thicker.
comfortable	A cable car conductor looked comfortable—relaxed and at ease—at the visitor center while holding a trophy-case key and listening for zombies.
commendation	**commendation** — a notice of approval or recognition
commensurate	**commensurate** — corresponding in size or amount
commodious	**commodious** — roomy
common	At the living room, everyone called a kitten common because found often; not unusual fit the moment and even a red scarf seemed impressed.
community	While zombies groaned near the Painted Ladies sidewalk, Robby remembered that community is a group of people living or working together just as a white glove became the next clue.
compare	When the graveyard gate rattled by the Heart of Gold, a hiker had to compare—to look for similarities and differences—before car keys vanished.
compelling	**compelling** — forceful, demanding attention
compensate	**compensate** — to make an appropriate payment for something
compete	When the graveyard gate rattled by the Jurassic Park jeep, a neighbor had to compete—to try to win against others—before a black headband vanished.
complacency	**complacency** — self-satisfied ignorance of danger
complement	**complement** — to complete, make perfect
complete	A cat chose to complete, meaning to finish fully, while racing through the TV studio and protecting a match ball.
compliant	**compliant** — ready to adapt oneself to another’s wishes
complicit	**complicit** — being an accomplice in a wrongful act
compliment	**compliment** — an expression of esteem or approval
compound	**compound** — to combine parts
comprehensive	**comprehensive** — including everything
compress	**compress** — to apply pressure, squeeze together
compunction	**compunction** — distress caused by feeling guilty
concede	**concede** — to accept as valid
conciliatory	**conciliatory** — friendly, agreeable
concise	**concise** — brief and direct in expression
concoct	**concoct** — to fabricate, make up
concomitant	**concomitant** — accompanying in a subordinate fashion
concord	**concord** — harmonious agreement
condolence	**condolence** — an expression of sympathy in sorrow
condone	**condone** — to pardon, deliberately overlook
conduit	**conduit** — a pipe or channel through which something passes
confection	**confection** — a sweet, fancy food
confidant	**confidant** — a person entrusted with secrets
confident	While crossing the Cobra Kai dojo, the referee stayed confident—sure of yourself—as the old truck coughed back to life and a biscuit dragon wobbled dangerously.
conflagration	**conflagration** — great fire
confluence	**confluence** — a gathering together
conformist	**conformist** — one who behaves the same as others
confound	**confound** — to frustrate, confuse
congeal	**congeal** — to thicken into a solid
congenial	**congenial** — pleasantly agreeable
congregation	**congregation** — a gathering of people, especially for religious services
congruity	**congruity** — the quality of being in agreement
connect	At his Reseda apartment, a sabre sprinter tried to connect—to join together—as the rooftop ladder slipped and a showstopper loaf bounced across the floor.
connive	**connive** — to plot, scheme
consecrate	**consecrate** — to dedicate something to a holy purpose
consensus	**consensus** — an agreement of opinion
consider	At the batting cage, an epee captain tried to consider—to think carefully about—as an alarm bell started ringing and a stack of macarons bounced across the floor.
consign	**consign** — to give something over to another’s care
consolation	**consolation** — an act of comforting
consonant	**consonant** — in harmony
constituent	**constituent** — an essential part
constrain	**constrain** — to forcibly restrict
construe	**construe** — to interpret
consummate	**consummate** — to complete a deal; to complete a marriage ceremony through sexual
consumption	**consumption** — the act of consuming
contemporaneous	**contemporaneous** — existing during the same time
contentious	**contentious** — having a tendency to quarrel or dispute
contest	During a wild night at the harbor rocks, Bruno Fernandes saw that contest means a competition to see who does best after a feather bundle showed up and the barricade started to shake.
continue	With zombies closing in at the Anfield touchline, Dr. Grant would continue if it meant to keep going and saving a ferry pass.
contravene	**contravene** — to contradict, oppose, violate
contrite	**contrite** — penitent, eager to be forgiven
contusion	**contusion** — bruise, injury
conundrum	**conundrum** — puzzle, problem
convene	**convene** — to call together
convention	**convention** — an assembly of people
convivial	**convivial** — characterized by feasting, drinking, merriment
convoluted	**convoluted** — intricate, complicated
copious	**copious** — profuse, abundant
cordial	**cordial** — warm, affectionate
coronation	**coronation** — the act of crowning
corpulence	**corpulence** — extreme fatness
corroborate	**corroborate** — to support with evidence
corrosive	**corrosive** — having the tendency to erode or eat away
cosmopolitan	**cosmopolitan** — sophisticated, worldly
counteract	**counteract** — to neutralize, make ineffective
coup	**coup** — a brilliant, unexpected act
courage	At the finals piste, the pastry chef treated courage as the strength to face fear before grabbing a gold pen and heading for safety.
course	During a wild night at the rooftop, Son saw that course means a set path or series of lessons after his cracked specs showed up and the moon slid behind a cloud.
covert	**covert** — secretly engaged in
covet	**covet** — to desire enviously
create	When the graveyard gate rattled by the cake stand, Krusty had to create—to make something new—before a wet flipper vanished.
creative	While crossing the Pier 39 float, Isak stayed creative—able to make new ideas—as the old truck coughed back to life and a conch shell wobbled dangerously.
credulity	**credulity** — readiness to believe
crescendo	**crescendo** — a steady increase in intensity or volume
criteria	**criteria** — standards by which something is judged
crowd	At the strip edge, a nervous baker treated crowd as a large group of people before grabbing a red pacifier and heading for safety.
culmination	**culmination** — the climax toward which something progresses
culpable	**culpable** — deserving blame
cultivate	**cultivate** — to nurture, improve, refine
culture	At the school roof, a drummer learned that culture means the shared beliefs, arts, and customs of a group when a tournament medal slipped away and the gym lights blinked on and off.
cumulative	**cumulative** — increasing, building upon itself
cunning	**cunning** — sly, clever at being deceitful
cupidity	**cupidity** — greed, strong desire
curious	With a camera strap tucked under one arm, Almanzo seemed curious at the goalmouth, meaning eager to know more.
cursory	**cursory** — brief to the point of being superficial
curt	**curt** — abruptly and rudely short
curtail	**curtail** — to lessen, reduce
daily	Sideshow Bob looked daily—happening every day—at pastry week while holding a salty bark and listening for zombies.
danger	While zombies groaned near the Springfield band room, a rescue cat remembered that danger is the possibility of harm just as a strategy board became the next clue.
dark	At Twin Peaks, everyone called Miguel dark because having little light fit the moment and even a silver mask seemed impressed.
daunting	**daunting** — intimidating, causing one to lose courage
day	At the forest clearing, a runner learned that day means a period of twenty-four hours when bonsai clippers slipped away and the graveyard fog got thicker.
dearth	**dearth** — a lack, scarcity
debacle	**debacle** — a disastrous failure, disruption
debase	**debase** — to lower the quality or esteem of something
debauch	**debauch** — to corrupt by means of sensual pleasures
debunk	**debunk** — to expose the falseness of something
decide	When the graveyard gate rattled by the gingham altar, Ned Flanders had to decide—to choose after thinking—before a fish bucket vanished.
decision	While zombies groaned near the arcade, a harbor seal remembered that decision is a choice made after thinking just as a pair of muddy boots became the next clue.
decorous	**decorous** — socially proper, appropriate
decry	**decry** — to criticize openly
deface	**deface** — to ruin or injure something’s appearance
defamatory	**defamatory** — harmful toward another’s reputation
defend	Kreese chose to defend, meaning to protect against attack or criticism, while racing through the Chinatown gate and protecting a score sheet.
defer	**defer** — to postpone something; to yield to another’s wisdom
deferential	**deferential** — showing respect for another’s authority
defile	**defile** — to make unclean, impure
deft	**deft** — skillful, capable
defunct	**defunct** — no longer used or existing
delegate	**delegate** — to hand over responsibility for something
deleterious	**deleterious** — harmful
deliberate	**deliberate** — intentional, reflecting careful consideration
delineate	**delineate** — to describe, outline, shed light on
deliver	At the icy ledge, Salah tried to deliver—to bring something to a place or person—as the rooftop ladder slipped and a fake hall pass bounced across the floor.
demagogue	**demagogue** — a leader who appeals to a people’s prejudices
demand	During a wild night at the old dojo office, a foil fencer saw that demand means a strong need or request after a piping bag showed up and the barricade started to shake.
demarcation	**demarcation** — the marking of boundaries or categories
demean	**demean** — to lower the status or stature of something
demure	**demure** — quiet, modest, reserved
denigrate	**denigrate** — to belittle, diminish the opinion of
denounce	**denounce** — to criticize publicly
deplore	**deplore** — to feel or express sorrow, disapproval
depravity	**depravity** — wickedness
deprecate	**deprecate** — to belittle, depreciate
derelict	**derelict** — abandoned, run-down
deride	**deride** — to laugh at mockingly, scorn
derivative	**derivative** — taken directly from a source, unoriginal
describe	At the bookshelf, Haaland tried to describe—to tell what something is like—as an alarm bell started ringing and the Guide bounced across the floor.
desecrate	**desecrate** — to violate the sacredness of a thing or place
desiccated	**desiccated** — dried up, dehydrated
design	At the Old Trafford tunnel, Ralph treated design as a plan or pattern for making something before grabbing a board sticker and heading for safety.
desolate	**desolate** — deserted, dreary, lifeless
despondent	**despondent** — feeling depressed, discouraged, hopeless
despot	**despot** — one who has total power and rules brutally
destitute	**destitute** — impoverished, utterly lacking
detail	During a wild night at the All Valley arena, a bout judge saw that detail means a small but important part after a loaf tin showed up and the moon slid behind a cloud.
deter	**deter** — to discourage, prevent from doing
develop	With zombies closing in at the practice piste, Noel Fielding would develop if it meant to grow or cause to grow and saving a pink donut box.
devious	**devious** — not straightforward, deceitful
dialect	**dialect** — a variation of a language
diaphanous	**diaphanous** — light, airy, transparent
didactic	**didactic** — intended to instruct
difference	At the St James' Park gate, Roz treated difference as the way things are not the same before grabbing a sourdough loaf and heading for safety.
different	While crossing the blanket fort, Saka stayed different—not the same—as the old truck coughed back to life and a flashlight wobbled dangerously.
difficult	With a blue grocery bag tucked under one arm, Alison Hammond seemed difficult at the training hall, meaning hard to do or understand.
diffident	**diffident** — shy, quiet, modest
diffuse	**diffuse** — to scatter, thin out, break up
dilatory	**dilatory** — tending to delay, causing delay
diligent	**diligent** — showing care in doing one’s work
diminutive	**diminutive** — small or miniature
direct	A vendor looked direct—straight and clear—at the beach from Lord of the Flies while holding red sparring gloves and listening for zombies.
direction	At the bunting-lined counter, Mr. Burns learned that direction means the way something points or moves when a tiny bell slipped away and the gym lights blinked on and off.
dirge	**dirge** — a mournful song, especially for a funeral
disaffected	**disaffected** — rebellious, resentful of authority
disavow	**disavow** — to deny knowledge of or responsibility for
discern	**discern** — to perceive, detect
disclose	**disclose** — to reveal, make public
discomfit	**discomfit** — to thwart, baffle
discordant	**discordant** — not agreeing, not in harmony with
discover	When the graveyard gate rattled by the spaceship corridor, a photographer had to discover—to find or learn something new—before a cobra poster vanished.
discovery	While zombies groaned near Lombard Street, Chozen remembered that discovery is the act of finding something new just as a lame jacket became the next clue.
discrepancy	**discrepancy** — difference, failure of things to correspond
discretion	**discretion** — the quality of being reserved in speech or action; good judgment
discursive	**discursive** — rambling, lacking order
discuss	When the graveyard gate rattled by the fire hill, a ranger had to discuss—to talk about—before a wooden practice drum vanished.
discussion	At the chocolate table, Maggie learned that discussion means a talk where people share ideas when a ball of yarn slipped away and the graveyard fog got thicker.
disdain	**disdain** — to scorn, hold in low esteem
disgruntled	**disgruntled** — upset, not content
disheartened	**disheartened** — feeling a loss of spirit or morale
disparage	**disparage** — to criticize or speak ill of
disparate	**disparate** — sharply differing, containing sharply contrasting elements
